# Peakfit fitted function data
# Source: E:/VS_CODE/PCM_Fano/10nm_5L_norm.txt
# Parameters:
# iC=171400.0
# iD=100000.0
# ib=-0.08120321269540899
# ig0=4.359177827562733
# iq=-38.502211192429684
# ia=0.5431
# iL=12.0986
# N=4.299432080128154e-09
# y0=0.005073953459880232
#
# iw	y_model	y	residual
399.8611	0.007316553466658445	0.00773	0.00041344653334155455
400.7176	0.007332396210569322	0.00951	0.0021776037894306773
401.5739	0.0073488128545477595	0.00951	0.00216118714545224
402.43	0.0073658802323809044	0.00921	0.001844119767619095
403.286	0.007383698457160245	0.00802	0.0006363015428397546
404.1418	0.007402393009695465	0.00713	-0.00027239300969546503
404.9976	0.007422137892051134	0.00951	0.0020878621079488653
405.8531	0.007443156620538478	0.00921	0.0017668433794615218
406.7085	0.007465775604442568	0.00862	0.0011542243955574311
407.5637	0.007490454572608751	0.00802	0.0005295454273912484
408.4188	0.007517882747213735	0.00654	-0.0009778827472137356
409.2737	0.007549111409345412	0.011	0.003450888590654588
410.1285	0.007585822077144052	0.0101	0.0025141779228559473
410.9831	0.007630755572992109	0.0101	0.0024692444270078906
411.8376	0.007688406253084068	0.00921	0.0015215937469159318
412.6919	0.007765416931597858	0.00921	0.0014445830684021417
413.5461	0.007867861278838768	0.00981	0.001942138721161231
414.4001	0.007990196766701662	0.0104	0.0024098032332983375
415.254	0.008106967753607072	0.00862	0.000513032246392927
416.1077	0.008188847178408488	0.00921	0.001021152821591511
416.9612	0.008221269788572735	0.00981	0.0015887302114272646
417.8146	0.008208247498249836	0.0107	0.002491752501750164
418.6679	0.008169832184363294	0.00951	0.0013401678156367055
419.521	0.008135063262599643	0.0107	0.0025649367374003564
420.3739	0.008131296091767246	0.0107	0.002568703908232753
421.2267	0.008173676507727204	0.01159	0.003416323492272796
422.0794	0.008258968494261942	0.00921	0.0009510315057380571
422.9319	0.00836642316697738	0.01189	0.00352357683302262
423.7842	0.008465746071203432	0.00981	0.0013442539287965675
424.6364	0.008529175143942844	0.00951	0.0009808248560571557
425.4884	0.008542920412882155	0.0104	0.001857079587117845
426.3403	0.008513345773085108	0.01159	0.0030766542269148912
427.192	0.008465043974923037	0.0104	0.001934956025076963
428.0436	0.008431285286434336	0.011	0.002568714713565663
428.8951	0.008440500407491284	0.011	0.0025594995925087155
429.7463	0.00850420518079694	0.0104	0.0018957948192030588
430.5974	0.008611612438736475	0.01218	0.0035683875612635245
431.4484	0.008733411451497546	0.01189	0.0031565885485024536
432.2992	0.008833576405926283	0.01159	0.0027564235940737165
433.1499	0.00888459771869167	0.01129	0.00240540228130833
434.0004	0.008879617524709215	0.01129	0.002410382475290785
434.8508	0.008836203317632026	0.01189	0.003053796682367974
435.701	0.008789626431026936	0.0101	0.0013103735689730632
436.5511	0.008778080758007132	0.01278	0.004001919241992868
437.4009	0.008825965963974136	0.01129	0.002464034036025863
438.2507	0.008932564677313992	0.011	0.0020674353226860075
439.1003	0.009071341301040405	0.01159	0.002518658698959595
439.9498	0.009200918020474007	0.01248	0.003279081979525993
440.7991	0.00928318075264698	0.0107	0.0014168192473530197
441.6482	0.009300858527164425	0.01159	0.0022891414728355743
442.4972	0.009266304982459537	0.01397	0.004703695017540463
443.3461	0.00921705242716624	0.01129	0.00207294757283376
444.1948	0.009199443309366907	0.01218	0.002980556690633093
445.0433	0.00924726535437477	0.01159	0.0023427346456252295
445.8917	0.009365290089379214	0.01337	0.004004709910620786
446.74	0.009525745366121616	0.011	0.0014742546338783833
447.588	0.009680180105446176	0.01248	0.0027998198945538236
448.436	0.009782125331357527	0.01159	0.0018078746686424722
449.2838	0.009809725362549555	0.01159	0.001780274637450445
450.1314	0.0097777757226469	0.01218	0.0024022242773531002
450.9789	0.009732081767468311	0.01397	0.004237918232531689
451.8262	0.009728085092893966	0.01634	0.006611914907106034
452.6734	0.009803403104368573	0.01218	0.0023765968956314266
453.5204	0.009957864652512135	0.01159	0.0016321353474878647
454.3673	0.010151820137273952	0.01248	0.0023281798627260483
455.2141	0.010324728018651499	0.01278	0.002455271981348501
456.0606	0.010425800686012319	0.01189	0.0014641993139876807
456.9071	0.010441449704181035	0.01278	0.002338550295818965
457.7534	0.010404414652797105	0.01426	0.003855585347202895
458.5995	0.010378712063645702	0.01218	0.0018012879363542983
459.4455	0.010426548342312936	0.01337	0.0029434516576870642
460.2913	0.01057415367104843	0.01367	0.00309584632895157
461.137	0.010795381746866247	0.01367	0.0028746182531337525
461.9825	0.011023509376317093	0.01516	0.004136490623682907
462.8279	0.011186945694320514	0.01456	0.0033730543056794855
